date,Foreign_Investor,Investment_Trust,Dealer_self
2023-09-21,0,0,0
2023-09-21,0,0,0
2023-09-21,0,0,0
2023-09-21,0,0,0
2023-09-21,0,0,0
2023-09-26,0,0,0
2023-09-26,0,0,0
2023-09-26,0,0,0
2023-09-26,0,0,0
2023-09-26,0,0,0
2023-09-28,0,0,0
2023-09-28,0,0,0
2023-09-28,0,0,0
2023-09-28,0,0,0
2023-09-28,0,0,0
2023-10-02,0,0,0
2023-10-02,0,0,0
2023-10-02,0,0,0
2023-10-02,0,0,0
2023-10-02,0,0,0
2023-10-05,0,0,0
2023-10-05,0,0,0
2023-10-05,0,0,0
2023-10-05,0,0,0
2023-10-05,0,0,0
2023-10-11,0,0,0
2023-10-11,0,0,0
2023-10-11,0,0,0
2023-10-11,0,0,0
2023-10-11,0,0,0
2023-10-12,0,0,0
2023-10-12,0,0,0
2023-10-12,0,0,0
2023-10-12,0,0,0
2023-10-12,0,0,0
2023-10-13,0,0,0
2023-10-13,0,0,0
2023-10-13,0,0,0
2023-10-13,0,0,0
2023-10-13,0,0,0
2023-10-16,0,0,0
2023-10-16,0,0,0
2023-10-16,0,0,0
2023-10-16,0,0,0
2023-10-16,0,0,0
2023-10-18,0,0,0
2023-10-18,0,0,0
2023-10-18,0,0,0
2023-10-18,0,0,0
2023-10-18,0,0,0
2023-10-20,0,0,0
2023-10-20,0,0,0
2023-10-20,0,0,0
2023-10-20,0,0,0
2023-10-20,0,0,0
2023-10-30,0,0,0
2023-10-30,0,0,0
2023-10-30,0,0,0
2023-10-30,0,0,0
2023-10-30,0,0,0
2023-11-03,0,0,0
2023-11-03,0,0,0
2023-11-03,0,0,0
2023-11-03,0,0,0
2023-11-03,0,0,0
2023-11-06,0,0,0
2023-11-06,0,0,0
2023-11-06,0,0,0
2023-11-06,0,0,0
2023-11-06,0,0,0
2023-11-08,0,0,0
2023-11-08,0,0,0
2023-11-08,0,0,0
2023-11-08,0,0,0
2023-11-08,0,0,0
2023-11-10,0,0,0
2023-11-10,0,0,0
2023-11-10,0,0,0
2023-11-10,0,0,0
2023-11-10,0,0,0
2023-11-15,0,0,0
2023-11-15,0,0,0
2023-11-15,0,0,0
2023-11-15,0,0,0
2023-11-15,0,0,0
2023-11-16,0,0,0
2023-11-16,0,0,0
2023-11-16,0,0,0
2023-11-16,0,0,0
2023-11-16,0,0,0
2023-11-20,0,0,0
2023-11-20,0,0,0
2023-11-20,0,0,0
2023-11-20,0,0,0
2023-11-20,0,0,0
2023-11-21,0,0,0
2023-11-21,0,0,0
2023-11-21,0,0,0
2023-11-21,0,0,0
2023-11-21,0,0,0
2023-11-22,0,0,0
2023-11-22,0,0,0
2023-11-22,0,0,0
2023-11-22,0,0,0
2023-11-22,0,0,0
2023-11-27,0,0,0
2023-11-27,0,0,0
2023-11-27,0,0,0
2023-11-27,0,0,0
2023-11-27,0,0,0
2023-12-04,0,0,0
2023-12-04,0,0,0
2023-12-04,0,0,0
2023-12-04,0,0,0
2023-12-04,0,0,0
2023-12-05,0,0,0
2023-12-05,0,0,0
2023-12-05,0,0,0
2023-12-05,0,0,0
2023-12-05,0,0,0
2023-12-21,0,0,0
2023-12-21,0,0,0
2023-12-21,0,0,0
2023-12-21,0,0,0
2023-12-21,0,0,0
2023-12-25,0,0,0
2023-12-25,0,0,0
2023-12-25,0,0,0
2023-12-25,0,0,0
2023-12-25,0,0,0
2023-12-28,0,0,0
2023-12-28,0,0,0
2023-12-28,0,0,0
2023-12-28,0,0,0
2023-12-28,0,0,0
2023-12-29,0,0,0
2023-12-29,0,0,0
2023-12-29,0,0,0
2023-12-29,0,0,0
2023-12-29,0,0,0
2024-01-03,0,0,0
2024-01-03,0,0,0
2024-01-03,0,0,0
2024-01-03,0,0,0
2024-01-03,0,0,0
2024-01-05,0,0,0
2024-01-05,0,0,0
2024-01-05,0,0,0
2024-01-05,0,0,0
2024-01-05,0,0,0
2024-01-08,0,0,0
2024-01-08,0,0,0
2024-01-08,0,0,0
2024-01-08,0,0,0
2024-01-08,0,0,0
2024-01-10,0,0,0
2024-01-10,0,0,0
2024-01-10,0,0,0
2024-01-10,0,0,0
2024-01-10,0,0,0
2024-01-11,0,0,0
2024-01-11,0,0,0
2024-01-11,0,0,0
2024-01-11,0,0,0
2024-01-11,0,0,0
2024-01-16,0,0,0
2024-01-16,0,0,0
2024-01-16,0,0,0
2024-01-16,0,0,0
2024-01-16,0,0,0
2024-01-18,0,0,0
2024-01-18,0,0,0
2024-01-18,0,0,0
2024-01-18,0,0,0
2024-01-18,0,0,0
2024-01-22,0,0,0
2024-01-22,0,0,0
2024-01-22,0,0,0
2024-01-22,0,0,0
2024-01-22,0,0,0
2024-01-23,0,0,0
2024-01-23,0,0,0
2024-01-23,0,0,0
2024-01-23,0,0,0
2024-01-23,0,0,0
2024-01-25,0,0,0
2024-01-25,0,0,0
2024-01-25,0,0,0
2024-01-25,0,0,0
2024-01-25,0,0,0
2024-01-30,0,0,0
2024-01-30,0,0,0
2024-01-30,0,0,0
2024-01-30,0,0,0
2024-01-30,0,0,0
2024-01-31,0,0,0
2024-01-31,0,0,0
2024-01-31,0,0,0
2024-01-31,0,0,0
2024-01-31,0,0,0
2024-02-01,0,0,0
2024-02-01,0,0,0
2024-02-01,0,0,0
2024-02-01,0,0,0
2024-02-01,0,0,0
2024-02-02,0,0,0
2024-02-02,0,0,0
2024-02-02,0,0,0
2024-02-02,0,0,0
2024-02-02,0,0,0
2024-02-05,0,0,0
2024-02-05,0,0,0
2024-02-05,0,0,0
2024-02-05,0,0,0
2024-02-05,0,0,0
2024-02-15,0,0,0
2024-02-15,0,0,0
2024-02-15,0,0,0
2024-02-15,0,0,0
2024-02-15,0,0,0
2024-02-16,0,0,0
2024-02-16,0,0,0
2024-02-16,0,0,0
2024-02-16,0,0,0
2024-02-16,0,0,0
2024-02-19,0,0,0
2024-02-19,0,0,0
2024-02-19,0,0,0
2024-02-19,0,0,0
2024-02-19,0,0,0
2024-02-21,0,0,0
2024-02-21,0,0,0
2024-02-21,0,0,0
2024-02-21,0,0,0
2024-02-21,0,0,0
2024-02-22,0,0,0
2024-02-22,0,0,0
2024-02-22,0,0,0
2024-02-22,0,0,0
2024-02-22,0,0,0
2024-02-23,0,0,0
2024-02-23,0,0,0
2024-02-23,0,0,0
2024-02-23,0,0,0
2024-02-23,0,0,0
2024-02-27,0,0,0
2024-02-27,0,0,0
2024-02-27,0,0,0
2024-02-27,0,0,0
2024-02-27,0,0,0
2024-03-05,0,0,0
2024-03-05,0,0,0
2024-03-05,0,0,0
2024-03-05,0,0,0
2024-03-05,0,0,0
2024-03-06,0,0,0
2024-03-06,0,0,0
2024-03-06,0,0,0
2024-03-06,0,0,0
2024-03-06,0,0,0
2024-03-08,0,0,0
2024-03-08,0,0,0
2024-03-08,0,0,0
2024-03-08,0,0,0
2024-03-08,0,0,0
2024-03-11,0,0,0
2024-03-11,0,0,0
2024-03-11,0,0,0
2024-03-11,0,0,0
2024-03-11,0,0,0
2024-03-12,0,0,0
2024-03-12,0,0,0
2024-03-12,0,0,0
2024-03-12,0,0,0
2024-03-12,0,0,0
2024-03-13,0,0,0
2024-03-13,0,0,0
2024-03-13,0,0,0
2024-03-13,0,0,0
2024-03-13,0,0,0
2024-03-15,0,0,0
2024-03-15,0,0,0
2024-03-15,0,0,0
