date,Foreign_Investor,Investment_Trust,Dealer_self
2023-09-19,0,0,0
2023-09-19,0,0,0
2023-09-19,0,0,0
2023-09-19,0,0,0
2023-09-19,0,0,0
2023-09-22,0,0,0
2023-09-22,0,0,0
2023-09-22,0,0,0
2023-09-22,0,0,0
2023-09-22,0,0,0
2023-09-28,0,0,0
2023-09-28,0,0,0
2023-09-28,0,0,0
2023-09-28,0,0,0
2023-09-28,0,0,0
2023-10-20,0,0,0
2023-10-20,0,0,0
2023-10-20,0,0,0
2023-10-20,0,0,0
2023-10-20,0,0,0
2023-10-27,0,0,0
2023-10-27,0,0,0
2023-10-27,0,0,0
2023-10-27,0,0,0
2023-10-27,0,0,0
2023-11-03,0,0,0
2023-11-03,0,0,0
2023-11-03,0,0,0
2023-11-03,0,0,0
2023-11-03,0,0,0
2023-11-06,0,0,0
2023-11-06,0,0,0
2023-11-06,0,0,0
2023-11-06,0,0,0
2023-11-06,0,0,0
2023-11-07,0,0,0
2023-11-07,0,0,0
2023-11-07,0,0,0
2023-11-07,0,0,0
2023-11-07,0,0,0
2023-11-08,0,0,0
2023-11-08,0,0,0
2023-11-08,0,0,0
2023-11-08,0,0,0
2023-11-08,0,0,0
2023-11-09,0,0,0
2023-11-09,0,0,0
2023-11-09,0,0,0
2023-11-09,0,0,0
2023-11-09,0,0,0
2023-11-16,0,0,0
2023-11-16,0,0,0
2023-11-16,0,0,0
2023-11-16,0,0,0
2023-11-16,0,0,0
2023-11-17,0,0,0
2023-11-17,0,0,0
2023-11-17,0,0,0
2023-11-17,0,0,0
2023-11-17,0,0,0
2023-11-22,0,0,0
2023-11-22,0,0,0
2023-11-22,0,0,0
2023-11-22,0,0,0
2023-11-22,0,0,0
2023-11-23,0,0,0
2023-11-23,0,0,0
2023-11-23,0,0,0
2023-11-23,0,0,0
2023-11-23,0,0,0
2023-12-06,0,0,0
2023-12-06,0,0,0
2023-12-06,0,0,0
2023-12-06,0,0,0
2023-12-06,0,0,0
2023-12-21,0,0,0
2023-12-21,0,0,0
2023-12-21,0,0,0
2023-12-21,0,0,0
2023-12-21,0,0,0
2024-01-05,0,0,0
2024-01-05,0,0,0
2024-01-05,0,0,0
2024-01-05,0,0,0
2024-01-05,0,0,0
2024-01-10,0,0,0
2024-01-10,0,0,0
2024-01-10,0,0,0
2024-01-10,0,0,0
2024-01-10,0,0,0
2024-01-16,0,0,0
2024-01-16,0,0,0
2024-01-16,0,0,0
2024-01-16,0,0,0
2024-01-16,0,0,0
2024-01-17,0,0,0
2024-01-17,0,0,0
2024-01-17,0,0,0
2024-01-17,0,0,0
